"","candidate_webname","state_postal","cd","year","primary_type","dem_prez_vote","cand_party","inc","quality_cand","win_primary","primary_pct","win_general","general_pct","biography_text","housegov_bio","FECCandID","BIOGUIDE_id"
"1","A. Donald McEachin","VA",4,2022,"Open Primary",67.2,"Democrat",1,2,1,100,1,64.9217480753374,"A community leader with a decades-long commitment to public service, Congressman A. Donald McEachin (VA-04) was first elected to represent the 4th Congressional District of Virginia in the United States House of Representatives on November 8, 2016.

Rep. McEachin has always stood up for working Virginians, families, and children in need. After practicing with several law firms in Richmond, Rep. McEachin and Donald Gee formed McEachin and Gee, in 1990. The McEachin and Gee Law Firm helped many Virginians receive the compensation they deserve after accidents or injury.

Before his service in Congress, Rep. McEachin served as a legislator in both chambers of Virginias General Assembly. During his tenure, he fought to protect our most vulnerable citizens by leading efforts to promote equality, curb gun violence, protect our environment, and preserve access to affordable health care

As a member of the House Committee on Energy and Commerce (E&C), the House Committee on Natural Resources (Natural Resources), and the Select Committee on the Climate Crisis, Rep. McEachin knows that the environment is a priority for our country and our coastal community. 

During his first term in Congress, he co-founded the United for Climate and Environmental Justice Congressional Task Force, which he continues to lead. As an original co-sponsor of the Environmental Justice for All Act, he sought to expand the National Environmental Policy Act and introduce new fees on oil, gas, and coal to fund communities transitioning away from fossil fuel economies.


A stand out leader, Rep. McEachin was chosen by his colleagues to serve as a Regional Whip, co-chair of the House Democratic Environmental Message Team, Whip of the Congressional Black Caucus, co-chair of the Congressional Black Caucus Energy, Environment, and Agriculture Task Force, and vice-chair of the Sustainable Energy and Environment Coalition (SEEC). 

Rep. McEachin is active in the community and is a lifetime member of Kappa Alpha Psi Fraternity, the NAACP, the Virginia State Bar, and the Virginia Trial Lawyers Association.

A Richmond native, Rep. McEachin was raised by his father, an Army veteran, and mother, a public-school teacher. He graduated from American University with a degree in Political Science and from the University of Virginia School of Law. In May 2008, he received his Master of Divinity from The Samuel DeWitt Proctor School of Theology at Virginia Union University.

Rep. McEachin and his lovely wife Colette are the parents of three adult children. Colette is also an attorney with extensive experience who now serves in the Richmond City Commonwealths Attorneys office.","0","H6VA04061",NA
"2","A.J. Louderback","TX",27,2022,"Open Primary",38.1,"Republican",0,1,0,12.2066769128389,NA,NA,"Former Sheriff AJ Louderback is a fifth-generation Texan and 40 plus year law enforcement veteran, having been elected to serve his fifth term as Jackson County Sheriff in 2020. 



Apart from his service in the Air Force, he led the charge of US Immigration and Customs Enforcement's 287 (g) program in the Gulf Bend region.



Louderback has represented the National Sheriff's Association on the Border/Immigration Committee, the National Institute of Justice's Committee, the Governmental Affairs Committee, and numerous other committees representing Sheriffs. He also serves as the current President of the Texas Sheriff's Regional Alliance and as chair of the Public Safety Committee & the Homeland Security Committee through the Golden Crescent Regional Planning Commission.



He is a fierce proponent of a strong national border and has been awarded the prestigious Service to the Homeland Award by the Department of Homeland Security. He's also an avid 2nd Amendment Rights advocate and has testified before US Congress, Texas Senate and Texas House of Representatives defending our God-given rights. He is also a regular commentator on Fox News, Newsmax, and various radio shows across the Nation.



Louderback is the former Legislative Chairman for the Sheriffs Association of Texas (SAT), is a past president of the SAT and has been a member of the Council of Americas Fight Crime: Invest in Kids since 2008. 

District 27 Needs Conservative Leadership.
As a staunch conservative, I will always fight to defend our constitutionally guaranteed rights while in Washington.","0","H2TX27281",NA
"3","Aaaron Calkins","IN",3,2022,"Open Primary",34,"Democrat",0,0,0,23.9410986101919,NA,NA,"I am a Hoosier since 1994 and have lived in ft Wayne since 1997.   I grew up in western Michigan and have an engineering degree.  I've spent 30 years in manufacturing.    I learned many of my people skills and customer service as a paper carrier starting at 11.   I learned my early negotiating skills as the 9th of 10 kids.  

I was brought up in the church and have been a member of our church in ft Wayne for 20 years.  I met my spouse in ft Wayne 25 years ago.  

I grew up in western Michigan.  My father was a navy vet, race car driver , and a trucker. My mother was a 1 room school house teacher at 19.   She  raised 10 kids.  At 48 for health reasons with my father, she learned to drive a truck.  At 16, I was the head of the house during the week when my parents were driving and my older siblings had moved out.

Led turn around efforts in 7 plants.   I learned very early as a coop student the experts on a job were the people doing the job, and to listen to them and be honest and open.   Some of my largest accomplishments have been insourcing functions to create more jobs and mentoring people to better positions.  Creating better and safer work environments at each location was my responsibility 

In my spare time I enjoy travel, visiting presidential  libraries and homes, volunteering with a non profit organization that I have been a part of since 1983 and visiting my huge family","0",NA,NA
"4","Aarika Samone Rhodes","CA",32,2022,"Top-Two",69.5,"Democrat",0,0,0,5.33196741304454,NA,NA,"Aarika has devoted her life to children and education. In 2013, Aarika received the Teacher of the Year Award from the Los Angeles Clippers for her achievement in constructing an effective science curriculum.


EDUCATOR
Aarika is an educator at her core. Aside from the Teacher of the Year Award she received from the Los Angeles Clippers, She has been published in the Journal for Multicultural Education for an article she co-authored with Dr. Shartriya Collier and Betty Burston entitled Teaching STEM as a Second Language: Utilizing SLA to Develop Equitable Learning for All Students. In 2018, Aarika was invited to the Better Together Teachers Summit at California State University Northridge to speak to dozens of educators about helping every child access curriculum by creating individual connections with each student. Aarika has taught students from diverse backgrounds in public and private schools. She understands the importance of closing the disparity in academic performance between groups of students.

ADVOCATE
In 2020, Aarika was an active volunteer during the democratic primary for former presidential candidate, Andrew Yang. She canvassed in Iowa, New Hampshire, Nevada, and all over Los Angeles, where she spoke to hundreds of people about the state of our country. Prior to the suspension of Andrew Yangs campaign, Aarika was in the process of organizing a town hall which was intended to address issues impacting low income communities. As Aarika was hearing the concerns of everyday people, she was inspired to do something which is why she filed to run for Congress. She feels strongly that everyday people matter and will fight hard to solve the problems that matter most to them. If elected, Aarika will support small businesses, work to close the income gap, foster care reform, and fight for every childs right to quality education.

FAMILY
Aarika Rhodes was born in Las Vegas, Nevada, to two working-class parents who made incredible sacrifices to ensure she received a solid education and access to opportunities they never had. They have supported every single dream and aspiration of hers and are unquestionably Aarikas role models.

Aarikas father was born into one of the few black-owned cotton farms in rural Shaw, Mississippi. That is where he acquired his leadership skills, work ethic, faith, and perseverance. Her father devoted his adult life to being a professional fighter and martial arts instructor. 

Aarikas mother was born in New Jersey but traveled back and forth between Europe and the United States because her father served in the United States Army and Vietnam. After recently retiring from her nine-to-five job she held for 35 years, Aarikas mom decided to become an entrepreneur. Aarika attributes her creativity, selflessness, and go-getter mentality to her mother. Aarikas parents have equipped her with strong morals and values. 

Aarikas value system is not only what makes her unique, but underscores why she would make an incredible congresswoman
Aarika attended public schools her entire life and was often the only student of color in the classroom. But she used it as motivation to be an honor roll student and break stereotypes. This is how she learned to stand against injustice and inequality and acquired her work ethic. She brought her capacity for hard work and her commitment to equality into the classroom as a teacher. Aarika went on to study at California State University Northridge where she earned a B.A. in Liberal Studies with an emphasis on Science and an M.Ed in Curriculum and Instruction.","0","H2CA30275",NA
"5","Aaron Bashir","PA",2,2022,"Closed Primary",71,"Republican",0,0,1,100,0,24.3482266730233,"WHO IS AARON BASHIR?
Aaron Bashir is a proud Christian, a survivor, an educator, a teacher, a professor, an entrepreneur, a community activist, a husband and a father of three children. In the year 1999, Aaron was diagnosed with a severe Aplastic Anemia, a life-threatening disease of blood that required bone marrow transplant. However, in the absence of a bone marrow transplant facility in Pakistan when his family lacked financial and medical resources for his treatment, he was miraculously healed by the supernatural power of the good Lord Jesus. Since then Aaron understands the value of the precious gift of life and his higher calling to serve others with a passionate heart.

 

After migrating to the United States in 2001 and becoming a U.S. Citizen in 2006, Aaron has worked hard to fulfill his American dream like most of us. He has earned his MBA degree from Lasalle University and a Bachelors degree from Temple University. Aaron has also earned his Associate degree from Community College of Philadelphia. Currently, Aaron is working on his Ph.D. at the Chicago School of Professional Psychology. Aaron has worked in various positions such as a Financial Accountant at the City of Philadelphia, an Adjunct Faculty Member at Community College of Philadelphia, an Entrepreneur at Saima Home Care, and a Real Estate Investor at Mister King LLC in addition to being an active member of Philadelphia community. 

Aaron Bashir continues his efforts now with a strong determination to use his miraculously saved life, higher education and professional work experience to serve his city and State of Pennsylvania with a passionate heart to serve all regardless of the color and creed.","0","H2PA02170",NA
"6","Aaron Bean","FL",4,2022,"Closed Primary",46,"Republican",0,1,1,68.0887679902294,1,60.4502686946148,"Aaron Bean is a conservative businessman, a lifelong Republican, a husband, and father of three from Northeast Florida who truly believes his heart is devoted to public service. In announcing his candidacy for Congress, Bean said:

Our nation is at a crossroads, being ripped apart at the seams by a liberal agenda that stifles economic growth and seeks to silence family values. Were enduring rising inflation, gas prices that are crippling hardworking Americans, unprotected borders, a loss of respect for law and order, and constant federal overreach by a government attempting to tell us that they know what is best. I will not rest on the sidelines. I will stand up for the free state of Florida and carry the torch of conservative Northeast Florida and the Ron DeSantis Doctrine, a doctrine of freedom for all Americans, to Washington.

Washington is in dire need of strong conservative voices and voices that will not be silenced when challenged. When we ran our local business, my wife and I were proud to be able to get up each day and work hard, employ our neighbors, and be a part of the workforce and business engine that contributed to the local economy. My background and perspective are unique, and I look forward to sharing with my community my vision for the nation, state and region.

From an early age, Aaron knew he wanted to serve his community and work hard for what he believed in. Born and raised in Northeast Florida, Aaron worked his way through college while attending Jacksonville University, where he was selected by his peers to be student body president and later helped start the Young Republicans in Nassau County. After graduating college and marrying his college sweetheart, Abby Bradley, a fifth-generation Clay Countian, Aaron became involved in local businesses where he gained firsthand knowledge of the burdens government place on businesses, especially on small business owners and entrepreneurs. This insight guided him to run for local office, believing government can always do better. Aaron served his local community, while raising a family and running a small business, as a city commissioner in Fernandina Beach and later being elected mayor. As Aaron learned the ropes of local government and how all levels of government can impact someones day-to-day life, he decided to run for state office and continue his dedication to bringing pro-business policies, conservative values and his family-first vision to his home region and the entire state.

Aaron served eight years in the Florida House of Representatives, including the first six years during Governor Jeb Bushs term. Aaron also had the privilege of becoming a trusted lieutenant of then-House Speaker Marco Rubio and proudly chaired the Duval Delegation during his last term in office. After leaving the Florida House, Aaron continued to focus on the entrepreneurial American dream, opening an insurance agency and eventually rescuing a beloved small putt-putt golf business in the community from going under. Running a local business, Aaron and his wife, Abby, saw first-hand the bureaucratic red tape that many small businesses face. They were proud to be able to get up each day and work hard, employ their neighbors, and be a part of the workforce and business engine that drives the local economy.

Aaron has spent the last eight years serving in the Florida Senate, most recently as the President Pro Tempore, being a noted advocate for lowering taxes on hardworking Floridians, focusing on pro-business, pro-family initiatives, and supporting the Florida freedom agenda and policies of Governor Ron DeSantis.

Aaron has worked for UF Health Jacksonville for 13 years in development. Aaron and Abby will be celebrating their 30th wedding anniversary this year and continue to watch their now-grown children build their own professional and personal lives.

Bringing his public service full circle, Aaron is now seeking to take his public servants heart, unmatched drive and energy, conservative values, and commitment to transparency and accountability to Washington by representing the people of Congressional District 4.

","0","H2FL04211","B001314"
"7","Aaron Storer","IN",1,2022,"Open Primary",53.4,"Republican",0,0,0,2.23067500483528,NA,NA,"Hi, My Name Is Aaron Storer and I'm running for Indiana's 1st Congressional District.


I have lived in Northwest Indiana almost my entire life. I graduated from Crown Point High School and then obtained my Bachelors degree from Purdue Northwest (formerly Purdue Calumet) in Hammond. Even after graduating college, I stayed here in order to settle down and start a family. I am proud to say that I am a Hoosier husband and father to the best wife and son (with a daughter on the way)!

The reason I am running for Indiana's 1st Congressional seat is because Northwest Indiana needs to stand up to Joe Biden and the Democratic party. I am an outsider to politics and  I don't hide behind canned, party-approved rhetoric. If elected, I'd speak for the everyday person in Northwest Indiana that Washington seems to forget. I encourage everyone to read my stances on the issues and if you have any questions to email me directly.","0","H2IN01222",NA
"8","Jamal Abdulahi","MN",5,2018,"Open Primary",73.69999695,"Democrat",0,0,0,3.68320314520718,NA,NA,"
                              Meet Jamal Abdullahi

At a time when immigrants and the very values that make America great are under attack, Jamal Abdulahi is an only-in-America success story.
Raised in hand-to-mouth poverty in rural Somalia, Jamal fled the Somali Civil War and endured hunger and fear in refugee camps before finally having the opportunity to evacuate to America.
On arriving in America, he took a Greyhound from California to Minnesota, worked minimum wage jobs to put himself through school and when he became eligible transferred to the University of Minnesotas prestigious Institute of Technology and earned a degree in electrical engineering.
As committed DFLer, Jamal has knocked on thousands of doors, chaired a committee charged with making recommendations on updating the DFLs technology infrastructure and founded the Somali-American DFL Caucus which has taken as its mission to organize one of Minnesotas most politically marginalized communities.
As a community advocate, Jamal has written extensively about the Somali community for mainstream publications and worked closely with legislators to draft legislation addressing gaps in mental health care, medical professionals trained overseas to be re-certified in Minnesota and a pilot program at Augsburg College to help inspire teachers of East African heritage to become licensed educators.
Jamal earned his M.B.A. while working full time and raising a family and developed his policy and leadership skills as a Policy Fellow at the University of Minnesotas Humphrey Institute.
Jamal and his wife Sahra Ali are raising four daughters and continue to serve the community just as Jamal has done his entire adult life.
Now, Jamal is ready to take his advocacy to Washington. He will be a leader in resisting Donald Trumps divisive and discriminatory policies.
No challenge is too big for Jamal Abdulahi. He will successfully represent Minnesotas 5th Congressional District with your help!


","0","H8MN05163",NA
"9","Abel Mulugheta","TX",30,2022,"Open Primary",77.8,"Democrat",0,0,0,5.94012842543185,NA,NA,"I was raised by two loving parents, who arrived as Eritrean refugees to the United States in the early 80s to start a new life for their family. I witnessed firsthand how a couple with limited resources, but hard work ethic, could provide unlimited potential to their children.

I was born and raised in Dallas. I spent my childhood riding my bike and playing with my neighbors in Pleasant Grove. My father, a taxi driver turned small business owner, woke up early each day to open his East Dallas neighborhood store before sunrise. My mother made us breakfast each morning before starting her long day taking care of other families in the community as a childcare worker and housekeeper.

I enrolled at the University of Texas at Austin in 2007, the same year Barack Obama announced his bid for president. I helped organize voter registration drives on UT's campus, and canvassed East Austin neighborhoods following my classes. On Election Day, my fraternity, Kappa Alpha Psi, co-hosted one of the largest watch parties in the cityan evening that helped shape my life.

Following graduation, I returned to Dallas. I worked in the district office of Congresswoman Eddie Bernice Johnson. Whether it was reviewing strategies to grow minority and women-owned small businesses in the Best Southwest, or researching methods to diversify placement of low income housing across Dallas County, our mission was the same, to improve the lives of the constituents of TX-30.

As a result of my parents sacrifices, I was able to graduate from SMU Law School in 2015 and join the Office of State Representative Rafael Ancha. As Chief of Staff and Legislative Director, I vigorously pursued efforts to improve the lives of all Texans: introducing common sense gun safety measures, fighting against bigoted policies designed to intimidate Blacks and Latinos, defending the rights of the LGBT community, and passing legislation to assist the wrongfully imprisoned. And throughout this year, I have been on the ground in our states capitol engaged in the fight to defend our freedom to vote. This experience changed me. I witnessed firsthand the vulnerability of our republic, just how delicate our democracy truly is.

Im honored to have served the residents of Dallas County over the past decade. I have had the opportunity to meet many of my neighbors in Congressional District 30, hear your stories, struggles, and successes and in return share mine. And with your support, I would be humbled to continue my public service to our great community, and will work tirelessly to earn your trust, your support, and your vote.","0","H2TX30145",NA
"10","Kevin Abel","GA",6,2018,"Open Primary",46.79999924,"Democrat",0,0,0,30.5375880408222,NA,NA,"










Meet Kevin Abel
Meet Kevin Abel
Kevin Abel at age 14 left South Africa, and with his family, moved to the United States.  They settled in Dallas where Kevin graduated from high school as class Valedictorian.  He attended the University of Texas at Austin where he earned a Bachelors Degree in electrical engineering in 1987.  Kevin began his career as a business consultant with Andersen Consulting (now known as Accenture).  While at Andersen, Kevin met his future wife, Cindy, who was based in the firms Atlanta office.
Kevin resigned from Andersen in 1990 and moved to Atlanta where he took a job at BellSouth.  Kevin and Cindy were married in 1992 and immediately moved into their first home in Alpharetta.
Kevin and Cindy took a huge leap of faith in 1994. They resigned from their jobs and started their own technology consulting company, Abel Solutions, Inc. During the next 23 years, Kevin and Cindy grew their company into a regionally recognized business, employing hundreds of people over the course of 2 decades, right here in Georgia.
Abel Solutions became a fixture in the local technology space, known for its commitment to employees, customers, partners, vendors, and the community. Since its founding the company has remained strongly committed to its core values, maintaining a proud reputation for its priority:  creating a culture in which always doing the right thing is paramount. 
Over the last 25 years, Kevin became deeply involved in Atlantas civic life, dedicating himself to supporting the community he loves so much. He has served on boards and financially supported multiple non-profit organizations including the Carter Center, the Arthritis Foundation-GA Chapter, The Davis Academy, the Technology Association of Georgia, and Hands On Atlanta.  Kevins wife, Cindy, served as CEO of Hands On Atlanta for most of 2016, following long tenures as a Board Member and an Advisory Board Member.
Kevin was a member of the Board of Directors of the Metro Atlanta Chamber of Commerce where he served as Chairman of the Small Business Council, and he is currently Vice Chair of the Board of New American Pathways, a refugee serving agency.
Kevin was recognized as a Metro Atlanta Chamber Small Business Person of the Year Finalist.  Georgia Trend has highlighted Kevin as one of their 40 Under 40 business and civic leaders, and Kevin was selected as a member of the Leadership Atlanta Class of 2006.
Kevin and Cindy are the proud parents of Danielle (23), Juliana (20), and Eric (17).  Danielle is a graduate of UGA and is currently pursuing her Doctorate in Physical Therapy at the University of Miami.  Juliana is a Junior at UGA majoring in Biology and Psychology.  Eric is a Senior at North Springs Charter High School in Sandy Springs.  The Abels have proudly lived in Georgias 6th district for more than 25 years.


","0","H8GA06377",NA
